,brand,name,price,spec_rating,processor,Ram,ROM_type,display_size,resolution_width,resolution_height,OS
464,HP,15s-fq5111TU Laptop,54990,61,12th Gen Intel Core i5 1235U,8GB,SSD,15.6,1920,1080,Windows 11 OS
465,HP,15s-dr3506TU Laptop,35999,60,11th Gen Intel Core i3 1115G4,8GB,Hard-Disk,15.6,1920,1080,Windows 11 OS
466,HP,15s-du3614TU Laptop,41710,65,11th Gen Intel Core i3 1115G4,8GB,Hard-Disk,15.6,1920,1080,Windows 11 OS
468,HP,Pavilion 14s- fy1003AU Laptop,45890,69.32352941,5th Gen AMD Ryzen 5  5500U ,16GB,SSD,14,1920,1080,Windows 11 OS
469,HP,15s-eq1559AU Laptop,29990,69.32352941,3rd Gen AMD Athlon Silver 3050U,8GB,SSD,15.6,1366,768,Windows 11 OS
470,HP,15s-FR2511TU Laptop,37672,69.32352941,11th Gen Intel Core i3 1115G4,8GB,SSD,15.6,1920,1080,Windows 11 OS
472,Acer,Aspire 5 A515-57G Gaming Laptop,52128,66,12th Gen Intel Core i5 1240P,8GB,SSD,15.6,1920,1080,Windows 11 OS
473,Acer,Aspire 3 A315-59 Laptop,39990,69.32352941,12th Gen Intel Core i5 1235U,8GB,SSD,15.6,1920,1080,Windows 11 OS
475,Acer,Predator Triton 500 SE PT516-52s NH.QFQSI.001 Laptop,147090,86,12th Gen Intel Core i7 12700H,32GB,SSD,16,2560,1600,Windows 11 OS
476,HP,Pavilion 14-dv2041TU Laptop,67990,61,12th Gen Intel Core i5 1235U,16GB,SSD,14,1920,1080,Windows 11 OS
479,HP,Pavilion 14-dv2015TU Laptop,83149,64,12th Gen Intel Core i7 1255U,16GB,SSD,14,1920,1080,Windows 11 OS
480,HP,Pavilion 15s-FQ5009TU Laptop,54999,69.32352941,12th Gen Intel Core i5 1235U,8GB,SSD,15.6,1920,1080,Windows 11 OS
483,HP,Pavilion 15-eg2009TU Laptop,61990,62,12th Gen Intel Core i5 1240P,8GB,SSD,15.6,1920,1080,Windows 11 OS
484,HP,Pavilion 14-ec1003AU Laptop,51573,69.32352941,5th Gen AMD Ryzen 5 5625U ,8GB,SSD,14,1920,1080,Windows 11 OS
485,Acer,Aspire 3 A315-58 Laptop UN.ADDSI.036 Laptop,31500,69.32352941,11th Gen Intel Core i3 1115G4,8GB,SSD,15.6,1920,1080,Windows OS
486,Acer,Extensa EX215-54 NX.EGJSI.00E Laptop,29000,69.32352941,11th Gen Intel Core i3 1115G4,4GB,SSD,15.6,1920,1080,Windows 11 OS
487,HP,15s-eq2143au Laptop,32990,69.32352941,5th Gen AMD Ryzen 3  5300U,8GB,SSD,15.6,1920,1080,Windows OS
489,Apple,MacBook Pro 14 inch MKGQ3HN Laptop,239900,69.32352941,Apple M1 Pro M1 Pro,16GB,SSD,14.2,3024,1964,Mac OS
490,Apple,MacBook Pro 16 inch MK1A3HN Laptop,309490,60,Apple M1 Max M1 Max,32GB,SSD,16.2,3456,2234,Mac OS
500,HP,15s-GR0012AU Laptop,37290,61,3rd Gen AMD Ryzen 3  3250U,8GB,Hard-Disk,15.6,1920,1080,Windows 10 OS
503,HP,EliteBook 840 G6,90464,69.32352941,8th Gen Intel Core i5 8265U,8GB,SSD,14,1920,1080,Windows 10 OS
504,Acer,Swift SF514-52T NX.GTMSI.025 Laptop,54490,61,8th Gen Intel Core i5 8250U,8GB,SSD,14,1920,1080,Windows 10 OS
505,Apple,MacBook Pro 2018 13-inch Touch Bar Laptop,199900,69.32352941,Intel,8GB,SSD,13.3,1600,2560,Mac High Sierra OS
